"Title","Handle","Body (HTML)","Variant SKU","Variant Price","Variant Compare At Price","Variant Weight (g)","Collection","Tags","Image Src","Attribute Set Id (product.metafields.custom.attribute_set_id)","Enable Googlecheckout (product.metafields.custom.enable_googlecheckout)","Has Options (product.metafields.custom.has_options)","Image Label (product.metafields.custom.image_label)","Is Recurring (product.metafields.custom.is_recurring)","Manufacturers (product.metafields.custom.manufacturers)","Msrp Display Actual Price Type (product.metafields.custom.msrp_display_actual_price_type)","Msrp Enabled (product.metafields.custom.msrp_enabled)","Required Options (product.metafields.custom.required_options)","Small Image (product.metafields.custom.small_image)","Small Image Label (product.metafields.custom.small_image_label)","Tax Class Id (product.metafields.custom.tax_class_id)","Thumbnail (product.metafields.custom.thumbnail)","Thumbnail Label (product.metafields.custom.thumbnail_label)","Url Key (product.metafields.custom.url_key)","Draw Length (product.metafields.custom.draw_length)","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Msrp (product.metafields.custom.msrp)","Size (product.metafields.custom.size)","Length (product.metafields.custom.length)","Shoe Size (product.metafields.custom.shoe_size)"
"Edelweiss 11mm Low Stretch Static Rope 150ft White","edelweiss-11mm-low-stretch-static-rope-150ft-white",,"EDL-0138-White-150Ft","134.9500","101.2100","7.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0138_3.jpg","32","1","0","Edelweiss 11mm Low Stretch Static Rope 150ft White",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0138_3.jpg","Edelweiss 11mm Low Stretch Static Rope 150ft White","edelweiss-11mm-low-stretch-static-rope-150ft-white",,,,,,,,,
"Edelweiss 11mm Low Stretch Static Rope 200ft White","edelweiss-11mm-low-stretch-static-rope-200ft-white",,"EDL-0138-White-200Ft","179.9500","134.9600","10.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0138_3.jpg","32","1","0","Edelweiss 11mm Low Stretch Static Rope 200ft White",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0138_3.jpg","Edelweiss 11mm Low Stretch Static Rope 200ft White","edelweiss-11mm-low-stretch-static-rope-200ft-white",,,,,,,,,
"Edelweiss Canyon 10 mm 150ft","edelweiss-canyon-10-mm-150ft",,"EDL-0139-10 mm-150Ft","129.9500","97.4600","6.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0139_2.jpg","32","1","0","Edelweiss Canyon 10 mm 150ft",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0139_2.jpg","Edelweiss Canyon 10 mm 150ft","edelweiss-canyon-10-mm-150ft",,,,,,,,,
"Edelweiss Canyon 10 mm 200ft","edelweiss-canyon-10-mm-200ft",,"EDL-0139-10 mm-200Ft","169.9500","127.4600","7.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0139_2.jpg","32","1","0","Edelweiss Canyon 10 mm 200ft",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0139_2.jpg","Edelweiss Canyon 10 mm 200ft","edelweiss-canyon-10-mm-200ft",,,,,,,,,
"Edelweiss Canyon 10 mm 300ft","edelweiss-canyon-10-mm-300ft",,"EDL-0139-10 mm-300Ft","259.9500","194.9600","13.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0139_2.jpg","32","1","0","Edelweiss Canyon 10 mm 300ft",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0139_2.jpg","Edelweiss Canyon 10 mm 300ft","edelweiss-canyon-10-mm-300ft",,,,,,,,,
"Edelweiss Canyon 10 mm 600ft","edelweiss-canyon-10-mm-600ft",,"EDL-0139-10 mm-600Ft","514.9500","386.2100","26.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0139_2.jpg","32","1","0","Edelweiss Canyon 10 mm 600ft",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0139_2.jpg","Edelweiss Canyon 10 mm 600ft","edelweiss-canyon-10-mm-600ft",,,,,,,,,
"Edelweiss Canyon 9.6 mm 150ft","edelweiss-canyon-9.6-mm-150ft",,"EDL-0139-9.6 mm-150Ft","129.9500","97.4600","6.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0139_3.jpg","32","1","0","Edelweiss Canyon 9.6 mm 150ft",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0139_3.jpg","Edelweiss Canyon 9.6 mm 150ft","edelweiss-canyon-9-6-mm-150ft",,,,,,,,,
"Edelweiss Canyon 9.6 mm 200ft","edelweiss-canyon-9.6-mm-200ft",,"EDL-0139-9.6 mm-200Ft","169.9500","127.4600","7.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0139_3.jpg","32","1","0","Edelweiss Canyon 9.6 mm 200ft",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0139_3.jpg","Edelweiss Canyon 9.6 mm 200ft","edelweiss-canyon-9-6-mm-200ft",,,,,,,,,
"Edelweiss Canyon 9.6 mm 300ft","edelweiss-canyon-9.6-mm-300ft",,"EDL-0139-9.6 mm-300Ft","259.9500","194.9600","13.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0139_3.jpg","32","1","0","Edelweiss Canyon 9.6 mm 300ft",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0139_3.jpg","Edelweiss Canyon 9.6 mm 300ft","edelweiss-canyon-9-6-mm-300ft",,,,,,,,,
"Edelweiss Canyon 9.6 mm 600ft","edelweiss-canyon-9.6-mm-600ft",,"EDL-0139-9.6 mm-600Ft","514.9500","386.2100","26.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0139_3.jpg","32","1","0","Edelweiss Canyon 9.6 mm 600ft",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0139_3.jpg","Edelweiss Canyon 9.6 mm 600ft","edelweiss-canyon-9-6-mm-600ft",,,,,,,,,
"Edelweiss Rocklight II 9.8mm Rope 50M","edelweiss-rocklight-ii-9.8mm-rope-50m",,"EDL-0140-50M","119.9500","89.9600","7.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0140_1.jpg","31","1","0","Edelweiss Rocklight II 9.8mm Rope 50M","0","938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0140_1.jpg","Edelweiss Rocklight II 9.8mm Rope 50M","edelweiss-rocklight-ii-9-8mm-rope-50m",,,,,,,,,
"Edelweiss Rocklight II 9.8mm Rope 60M","edelweiss-rocklight-ii-9.8mm-rope-60m",,"EDL-0140-60M","139.9500","104.9600","8.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0140_1.jpg","31","1","0","Edelweiss Rocklight II 9.8mm Rope 60M",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0140_1.jpg","Edelweiss Rocklight II 9.8mm Rope 60M","edelweiss-rocklight-ii-9-8mm-rope-60m",,,,,,,,,
"Edelweiss Rocklight II 9.8mm Rope 70M","edelweiss-rocklight-ii-9.8mm-rope-70m",,"EDL-0140-70M","169.9500","127.4600","9.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0140_1.jpg","31","1","0","Edelweiss Rocklight II 9.8mm Rope 70M","0","938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0140_1.jpg","Edelweiss Rocklight II 9.8mm Rope 70M","edelweiss-rocklight-ii-9-8mm-rope-70m",,,,,,,,,
"Edelweiss Flashlight II 10mm Rope 50M","edelweiss-flashlight-ii-10mm-rope-50m",,"EDL-0141-50M","119.9500","89.9600","7.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0141_1.jpg","31","1","0","Edelweiss Flashlight II 10mm Rope 50M",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0141_1.jpg","Edelweiss Flashlight II 10mm Rope 50M","edelweiss-flashlight-ii-10mm-rope-50m",,,,,,,,,
"Edelweiss Flashlight II 10mm Rope 60M","edelweiss-flashlight-ii-10mm-rope-60m",,"EDL-0141-60M","139.9500","104.9600","8.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0141_1.jpg","31","1","0","Edelweiss Flashlight II 10mm Rope 60M",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0141_1.jpg","Edelweiss Flashlight II 10mm Rope 60M","edelweiss-flashlight-ii-10mm-rope-60m",,,,,,,,,
"Edelweiss Flashlight II 10mm Rope 70M","edelweiss-flashlight-ii-10mm-rope-70m",,"EDL-0141-70M","169.9500","127.4600","9.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0141_1.jpg","31","1","0","Edelweiss Flashlight II 10mm Rope 70M",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0141_1.jpg","Edelweiss Flashlight II 10mm Rope 70M","edelweiss-flashlight-ii-10mm-rope-70m",,,,,,,,,
"Edelweiss Toplight II 10.2mm Rope 50M","edelweiss-toplight-ii-10.2mm-rope-50m",,"EDL-0143-50M","119.9500","89.9600","7.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0143_1.jpg","31","1","0","Edelweiss Toplight II 10.2mm Rope 50M",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0143_1.jpg","Edelweiss Toplight II 10.2mm Rope 50M","edelweiss-toplight-ii-10-2mm-rope-50m",,,,,,,,,
"Edelweiss Toplight II 10.2mm Rope 60M","edelweiss-toplight-ii-10.2mm-rope-60m",,"EDL-0143-60M","139.9500","104.9600","8.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0143_1.jpg","31","1","0","Edelweiss Toplight II 10.2mm Rope 60M",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0143_1.jpg","Edelweiss Toplight II 10.2mm Rope 60M","edelweiss-toplight-ii-10-2mm-rope-60m",,,,,,,,,
"Edelweiss Toplight II 10.2mm Rope 70M","edelweiss-toplight-ii-10.2mm-rope-70m",,"EDL-0143-70M","169.9500","127.4600","9.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0143_1.jpg","31","1","0","Edelweiss Toplight II 10.2mm Rope 70M",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0143_1.jpg","Edelweiss Toplight II 10.2mm Rope 70M","edelweiss-toplight-ii-10-2mm-rope-70m",,,,,,,,,
"Edelweiss Lithium 8.5mm Rope 70M Gold","edelweiss-lithium-8.5mm-rope-70m-gold",,"EDL-0144-Gold-70M","179.9500","134.9600","9.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0144_1.jpg","31","1","0","Edelweiss Lithium 8.5mm Rope 70M Gold",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0144_1.jpg","Edelweiss Lithium 8.5mm Rope 70M Gold","edelweiss-lithium-8-5mm-rope-70m-gold",,,,,,,,,
